id,codigo,section,bloque,area_id,exclusivo_rol_id,texto,tipo,opciones,locale,peso,escala,scoring,created_at
11,A5,Cuestionario,Adopción,2,1,"¿Con qué frecuencia aprueba o supervisa controles de datos y cumplimiento locales (p. ej., INAI/AAIP/SIC) y transferencias transfronterizas?",Multiple Choice (escala Likert A–E),"[""A) Nunca"",""B) Rara vez (≤ 1/mes)"",""C) Ocasional (2–3/mes)"",""D) Frecuente (semanal)"",""E) Muy frecuente (diaria)""]",MX/LATAM,8.333333,"{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}","{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}",2025-08-23 01:30:45.230587+00
12,A6,Cuestionario,Adopción,2,1,"¿Con qué frecuencia financia/monitorea programas de upskilling (prompt-engineering, seguridad, ética) para liderazgo y áreas de negocio?",Multiple Choice (escala Likert A–E),"[""A) Nunca"",""B) Rara vez (≤ 1/mes)"",""C) Ocasional (2–3/mes)"",""D) Frecuente (semanal)"",""E) Muy frecuente (diaria)""]",MX/LATAM,8.333333,"{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}","{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}",2025-08-23 01:30:45.230587+00
13,C1,Cuestionario,Conocimiento,2,1,¿Cuál es un KPI estratégico adecuado para Gen-AI a nivel CEO?,Multiple Choice (una respuesta),"[""A) \""Número de prompts enviados\"""",""B) Valor capturado contra línea base (ahorro/ingreso/tiempo)"",""C) Likes en redes"",""D) Cantidad de proveedores""]",MX/LATAM,8.333333,,"{""Correcta"":100,""Incorrecta"":0}",2025-08-23 01:32:56.027824+00
14,C2,Cuestionario,Conocimiento,2,1,¿Qué práctica valida mejor el ROI en LATAM con presupuestos acotados?,Multiple Choice (una respuesta),"[""A) Comprar primero licencias masivas"",""B) Pilotos con control A/B y línea base operacional"",""C) Esperar a que la competencia publique su ROI"",""D) Usar solo encuestas de percepción""]",MX/LATAM,8.333333,,"{""Correcta"":100,""Incorrecta"":0}",2025-08-23 01:32:56.027824+00
15,C3,Cuestionario,Conocimiento,2,1,"Para casos de alto riesgo (crédito, salud, empleo), ¿qué es indispensable?",Multiple Choice (una respuesta),"[""A) Delegar todo a IA"",""B) Supervisión humana, documentación del caso y evaluación de impacto/explicabilidad"",""C) Ocultar el uso de IA"",""D) Solo NDAs con proveedores""]",MX/LATAM,8.333333,,"{""Correcta"":100,""Incorrecta"":0}",2025-08-23 01:32:56.027824+00
16,C4,Cuestionario,Conocimiento,2,1,"En México y región, ¿qué principio debe regir el uso de datos en Gen-AI?",Multiple Choice (una respuesta),"[""A) Subir PII a cualquier servicio"",""B) Minimización, bases legales claras y salvaguardas en transferencias"",""C) Recolección indiscriminada"",""D) Reutilizar expedientes sin informar""]",MX/LATAM,8.333333,,"{""Correcta"":100,""Incorrecta"":0}",2025-08-23 01:32:56.027824+00
17,C5,Cuestionario,Conocimiento,2,1,¿Qué enfoque maduro de entrenamiento ejecutivo adopta mejores prácticas?,Multiple Choice (una respuesta),"[""A) Taller único"",""B) Ruta continua: fundamentos + prompt-ops + riesgos + métricas, con casos locales del sector"",""C) Solo comprar cursos genéricos"",""D) Aprendizaje informal""]",MX/LATAM,8.333333,,"{""Correcta"":100,""Incorrecta"":0}",2025-08-23 01:32:56.027824+00
18,C6,Cuestionario,Conocimiento,2,1,Cláusula crítica al contratar Gen-AI en LATAM,Multiple Choice (una respuesta),"[""A) Look & feel"",""B) Propiedad/uso de outputs, seguridad, ubicación/transferencia de datos y SLAs de calidad/soporte"",""C) Color del dashboard"",""D) Pago en especie""]",MX/LATAM,8.333333,,"{""Correcta"":100,""Incorrecta"":0}",2025-08-23 01:32:56.027824+00
19,A1,Cuestionario,Adopción,3,2,¿Con qué frecuencia utiliza asistentes de código para generar/explicar funciones?,Multiple Choice (escala Likert A–E),"[""A) Nunca"",""B) Rara vez (≤ 1/mes)"",""C) Ocasional (2–3/mes)"",""D) Frecuente (semanal)"",""E) Muy frecuente (diaria)""]",MX/LATAM,8.333333,"{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}","{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}",2025-08-23 01:46:31.086623+00
20,A2,Cuestionario,Adopción,3,2,"¿Con qué frecuencia usa Gen-AI para documentación técnica, refactoring y/o generación de pruebas (unitarias/integración)?",Multiple Choice (escala Likert A–E),"[""A) Nunca"",""B) Rara vez (≤ 1/mes)"",""C) Ocasional (2–3/mes)"",""D) Frecuente (semanal)"",""E) Muy frecuente (diaria)""]",MX/LATAM,8.333333,"{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}","{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}",2025-08-23 01:46:31.086623+00
21,A3,Cuestionario,Adopción,3,2,"¿Con qué frecuencia emplea Gen-AI en code reviews/PRs (resúmenes, linting guiado, explicación de cambios, commit messages)?",Multiple Choice (escala Likert A–E),"[""A) Nunca"",""B) Rara vez (≤ 1/mes)"",""C) Ocasional (2–3/mes)"",""D) Frecuente (semanal)"",""E) Muy frecuente (diaria)""]",MX/LATAM,8.333333,"{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}","{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}",2025-08-23 01:46:31.086623+00
22,A4,Cuestionario,Adopción,3,2,"¿Con qué frecuencia integra capacidades LLM en productos o herramientas internas (RAG, embeddings, chatops, agentes, búsqueda semántica)?",Multiple Choice (escala Likert A–E),"[""A) Nunca"",""B) Rara vez (≤ 1/mes)"",""C) Ocasional (2–3/mes)"",""D) Frecuente (semanal)"",""E) Muy frecuente (diaria)""]",MX/LATAM,8.333333,"{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}","{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}",2025-08-23 01:46:31.086623+00
23,A5,Cuestionario,Adopción,3,2,"¿Con qué frecuencia aplica guardrails y controles de seguridad/privacidad (redacción de secretos, PII, rate-limits, content filters, aislamiento de entornos)?",Multiple Choice (escala Likert A–E),"[""A) Nunca"",""B) Rara vez (≤ 1/mes)"",""C) Ocasional (2–3/mes)"",""D) Frecuente (semanal)"",""E) Muy frecuente (diaria)""]",MX/LATAM,8.333333,"{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}","{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}",2025-08-23 01:46:31.086623+00
24,A6,Cuestionario,Adopción,3,2,"¿Con qué frecuencia mide valor y calidad de Gen-AI (A/B interno, aceptación, defectos/MTTR, productividad de PRs)?",Multiple Choice (escala Likert A–E),"[""A) Nunca"",""B) Rara vez (≤ 1/mes)"",""C) Ocasional (2–3/mes)"",""D) Frecuente (semanal)"",""E) Muy frecuente (diaria)""]",MX/LATAM,8.333333,"{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}","{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}",2025-08-23 01:46:31.086623+00
25,C1,Cuestionario,Conocimiento,3,2,¿Qué es la ventana de contexto en un LLM?,Multiple Choice (una respuesta),"[""A) Núcleos de CPU"",""B) Memoria a largo plazo del usuario"",""C) Cantidad de tokens que el modelo puede procesar por turno"",""D) Caché de disco""]",MX/LATAM,8.333333,,"{""Correcta"":100,""Incorrecta"":0}",2025-08-23 01:46:31.086623+00
26,C2,Cuestionario,Conocimiento,3,2,¿Qué controla principalmente la temperatura en un LLM?,Multiple Choice (una respuesta),"[""A) Latencia"",""B) Aleatoriedad/diversidad de las salidas"",""C) Límite de tokens"",""D) Uso de GPU""]",MX/LATAM,8.333333,,"{""Correcta"":100,""Incorrecta"":0}",2025-08-23 01:46:31.086623+00
27,C3,Cuestionario,Conocimiento,3,2,"Buena práctica para reducir ""alucinaciones"" en código sugerido por Gen-AI",Multiple Choice (una respuesta),"[""A) Aceptar todo y mergear"",""B) Revisión humana + pruebas automatizadas + linters y static analysis"",""C) Aumentar la temperatura"",""D) Cambiar de IDE""]",MX/LATAM,8.333333,,"{""Correcta"":100,""Incorrecta"":0}",2025-08-23 01:46:31.086623+00
28,C4,Cuestionario,Conocimiento,3,2,"En integración LLM+RAG con fuentes externas, práctica más segura",Multiple Choice (una respuesta),"[""A) Ejecutar comandos del modelo sin validación"",""B) Tratar al modelo como no confiable, sanitizar entradas/salidas, bloquear funciones peligrosas y validar orígenes"",""C) Dar acceso root al conector"",""D) Desactivar logging""]",MX/LATAM,8.333333,,"{""Correcta"":100,""Incorrecta"":0}",2025-08-23 01:46:31.086623+00
29,C5,Cuestionario,Conocimiento,3,2,Métrica que mide mejor el impacto del asistente de código,Multiple Choice (una respuesta),"[""A) Nº de prompts"",""B) A/B: aceptación útil, defectos, retrabajo, lead time y MTTR vs. baseline"",""C) Colores del editor"",""D) Nº de ramas""]",MX/LATAM,8.333333,,"{""Correcta"":100,""Incorrecta"":0}",2025-08-23 01:46:31.086623+00
30,C6,Cuestionario,Conocimiento,3,2,Uso de repos internos con Gen-AI en LATAM – práctica adecuada,Multiple Choice (una respuesta),"[""A) Subir PII/secrets a servicios públicos"",""B) Minimizar/anonimizar datos, escanear secretos y usar entornos privados o on-prem cuando aplique"",""C) Compartir código de clientes sin permiso"",""D) Deshabilitar controles de acceso""]",MX/LATAM,8.333333,,"{""Correcta"":100,""Incorrecta"":0}",2025-08-23 01:46:31.086623+00
31,A1,Cuestionario,Adopción,4,3,"¿Con qué frecuencia usa Gen-AI para ideación y copy (posts, emails, ads, guiones) con guías de tono de marca?",Multiple Choice (escala Likert A–E),"[""A) Nunca"",""B) Rara vez (≤ 1/mes)"",""C) Ocasional (2–3/mes)"",""D) Frecuente (semanal)"",""E) Muy frecuente (diaria)""]",MX/LATAM,8.333333,"{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}","{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}",2025-08-23 01:46:31.086623+00
32,A2,Cuestionario,Adopción,4,3,¿Con qué frecuencia genera activos creativos (imágenes/video/carruseles) o variaciones para A/B con Gen-AI?,Multiple Choice (escala Likert A–E),"[""A) Nunca"",""B) Rara vez (≤ 1/mes)"",""C) Ocasional (2–3/mes)"",""D) Frecuente (semanal)"",""E) Muy frecuente (diaria)""]",MX/LATAM,8.333333,"{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}","{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}",2025-08-23 01:46:31.086623+00
33,A3,Cuestionario,Adopción,4,3,"¿Con qué frecuencia aplica Gen-AI para localización/transcreación al español regional (MX, AR, CO, CL, etc.)?",Multiple Choice (escala Likert A–E),"[""A) Nunca"",""B) Rara vez (≤ 1/mes)"",""C) Ocasional (2–3/mes)"",""D) Frecuente (semanal)"",""E) Muy frecuente (diaria)""]",MX/LATAM,8.333333,"{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}","{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}",2025-08-23 01:46:31.086623+00
34,A4,Cuestionario,Adopción,4,3,"¿Con qué frecuencia usa Gen-AI para social listening/insights (resúmenes de sentimiento, temas emergentes)?",Multiple Choice (escala Likert A–E),"[""A) Nunca"",""B) Rara vez (≤ 1/mes)"",""C) Ocasional (2–3/mes)"",""D) Frecuente (semanal)"",""E) Muy frecuente (diaria)""]",MX/LATAM,8.333333,"{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}","{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}",2025-08-23 01:46:31.086623+00
35,A5,Cuestionario,Adopción,4,3,"¿Con qué frecuencia emplea Gen-AI para personalización (segmentos, mensajes dinámicos) con datos minimizados?",Multiple Choice (escala Likert A–E),"[""A) Nunca"",""B) Rara vez (≤ 1/mes)"",""C) Ocasional (2–3/mes)"",""D) Frecuente (semanal)"",""E) Muy frecuente (diaria)""]",MX/LATAM,8.333333,"{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}","{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}",2025-08-23 01:46:31.086623+00
36,A6,Cuestionario,Adopción,4,3,"¿Con qué frecuencia integra Gen-AI en medición de performance (resúmenes de campañas, hipótesis, lift y CAC/LTV)?",Multiple Choice (escala Likert A–E),"[""A) Nunca"",""B) Rara vez (≤ 1/mes)"",""C) Ocasional (2–3/mes)"",""D) Frecuente (semanal)"",""E) Muy frecuente (diaria)""]",MX/LATAM,8.333333,"{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}","{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}",2025-08-23 01:46:31.086623+00
37,C1,Cuestionario,Conocimiento,4,3,Práctica que mejora la coherencia del tono de marca,Multiple Choice (una respuesta),"[""A) Prompt genérico"",""B) Prompt con guía de marca (do/don't), ejemplos y style sheet"",""C) Aumentar temperatura"",""D) Traducir literal""]",MX/LATAM,8.333333,,"{""Correcta"":100,""Incorrecta"":0}",2025-08-23 01:46:31.086623+00
38,C2,Cuestionario,Conocimiento,4,3,"Para creatividades generadas por IA, aspecto crítico",Multiple Choice (una respuesta),"[""A) Todo es libre por defecto"",""B) Revisar términos de uso/licencias y derechos sobre outputs para uso comercial"",""C) Solo cambiar colores"",""D) No registrar evidencia""]",MX/LATAM,8.333333,,"{""Correcta"":100,""Incorrecta"":0}",2025-08-23 01:46:31.086623+00
39,C3,Cuestionario,Conocimiento,4,3,Personalización con Gen-AI en LATAM – enfoque adecuado,Multiple Choice (una respuesta),"[""A) Subir PII sin aviso"",""B) Minimización, base legal/consentimiento y controles de transferencia internacional"",""C) Usar listas compradas sin revisión"",""D) Reutilizar CRM sin opción de baja""]",MX/LATAM,8.333333,,"{""Correcta"":100,""Incorrecta"":0}",2025-08-23 01:46:31.086623+00
40,C4,Cuestionario,Conocimiento,4,3,Qué evalúa mejor el impacto en performance,Multiple Choice (una respuesta),"[""A) Nº de prompts"",""B) Experimentos A/B y uplift vs. baseline (CTR, CVR, CAC, LTV)"",""C) Likes"",""D) Tamaño del budget""]",MX/LATAM,8.333333,,"{""Correcta"":100,""Incorrecta"":0}",2025-08-23 01:46:31.086623+00
41,C5,Cuestionario,Conocimiento,4,3,Cómo reducir alucinaciones y riesgos reputacionales,Multiple Choice (una respuesta),"[""A) Publicar sin revisar"",""B) Human-in-the-loop, fact-checking, listas de exclusión y QA de claims"",""C) Bajar costo de media"",""D) Más emojis""]",MX/LATAM,8.333333,,"{""Correcta"":100,""Incorrecta"":0}",2025-08-23 01:46:31.086623+00
42,C6,Cuestionario,Conocimiento,4,3,Uso de IA en piezas públicas – recomendable,Multiple Choice (una respuesta),"[""A) Ocultarlo"",""B) Señalización/etiquetado cuando aplique y evitar deepfakes engañosos sin consentimiento"",""C) Firmar como humano"",""D) Usar testimonios inventados""]",MX/LATAM,8.333333,,"{""Correcta"":100,""Incorrecta"":0}",2025-08-23 01:46:31.086623+00
43,A1,Cuestionario,Adopción,5,4,¿Con qué frecuencia usa Gen-AI para resumir evidencia clínica/guías y preparar briefs médicos?,Multiple Choice (escala Likert A–E),"[""A) Nunca"",""B) Rara vez (≤ 1/mes)"",""C) Ocasional (2–3/mes)"",""D) Frecuente (semanal)"",""E) Muy frecuente (diaria)""]",MX/LATAM,8.333333,"{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}","{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}",2025-08-23 01:46:31.086623+00
44,A2,Cuestionario,Adopción,5,4,¿Con qué frecuencia usa Gen-AI para redactar/estructurar notas clínicas o informes (con revisión humana)?,Multiple Choice (escala Likert A–E),"[""A) Nunca"",""B) Rara vez (≤ 1/mes)"",""C) Ocasional (2–3/mes)"",""D) Frecuente (semanal)"",""E) Muy frecuente (diaria)""]",MX/LATAM,8.333333,"{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}","{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}",2025-08-23 01:46:31.086623+00
45,A3,Cuestionario,Adopción,5,4,"¿Con qué frecuencia genera materiales de educación al paciente (folletos, FAQ, indicaciones de alta) con Gen-AI?",Multiple Choice (escala Likert A–E),"[""A) Nunca"",""B) Rara vez (≤ 1/mes)"",""C) Ocasional (2–3/mes)"",""D) Frecuente (semanal)"",""E) Muy frecuente (diaria)""]",MX/LATAM,8.333333,"{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}","{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}",2025-08-23 01:46:31.086623+00
46,A4,Cuestionario,Adopción,5,4,"¿Con qué frecuencia utiliza Gen-AI en administración clínica (codificación diagnóstica/procedimientos, pre-facturación, autorizaciones) con validación humana?",Multiple Choice (escala Likert A–E),"[""A) Nunca"",""B) Rara vez (≤ 1/mes)"",""C) Ocasional (2–3/mes)"",""D) Frecuente (semanal)"",""E) Muy frecuente (diaria)""]",MX/LATAM,8.333333,"{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}","{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}",2025-08-23 01:46:31.086623+00
47,A5,Cuestionario,Adopción,5,4,"¿Con qué frecuencia emplea Gen-AI como apoyo no diagnóstico (triage informativo, resúmenes de expediente, recordatorios), evitando decisiones clínicas automatizadas?",Multiple Choice (escala Likert A–E),"[""A) Nunca"",""B) Rara vez (≤ 1/mes)"",""C) Ocasional (2–3/mes)"",""D) Frecuente (semanal)"",""E) Muy frecuente (diaria)""]",MX/LATAM,8.333333,"{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}","{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}",2025-08-23 01:46:31.086623+00
48,A6,Cuestionario,Adopción,5,4,"¿Con qué frecuencia aplica controles de privacidad/seguridad (anonimización/pseudonimización, no subir PHI a servicios públicos, entornos aprobados)?",Multiple Choice (escala Likert A–E),"[""A) Nunca"",""B) Rara vez (≤ 1/mes)"",""C) Ocasional (2–3/mes)"",""D) Frecuente (semanal)"",""E) Muy frecuente (diaria)""]",MX/LATAM,8.333333,"{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}","{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}",2025-08-23 01:46:31.086623+00
49,C1,Cuestionario,Conocimiento,5,4,"Para casos de alto riesgo (diagnóstico/prescripción) en LATAM, lo correcto es…",Multiple Choice (una respuesta),"[""A) Delegar en la IA"",""B) Exigir supervisión humana, validación clínica y no usar Gen-AI diagnóstica sin aprobación/validación"",""C) Usar cualquier app pública"",""D) Omitir documentación""]",MX/LATAM,8.333333,,"{""Correcta"":100,""Incorrecta"":0}",2025-08-23 01:46:31.086623+00
50,C2,Cuestionario,Conocimiento,5,4,Práctica adecuada con datos de salud (PHI),Multiple Choice (una respuesta),"[""A) Subir PHI a servicios públicos"",""B) Minimizar y anonimizar; usar entornos aprobados y acuerdos de tratamiento de datos"",""C) Compartir por mensajería personal"",""D) Guardar logs con PII sin control""]",MX/LATAM,8.333333,,"{""Correcta"":100,""Incorrecta"":0}",2025-08-23 01:46:31.086623+00
51,C3,Cuestionario,Conocimiento,5,4,Para evitar recomendaciones desactualizadas,Multiple Choice (una respuesta),"[""A) Confiar en el output"",""B) Verificar contra guías vigentes y fuentes primarias con fecha/citas"",""C) Subir más prompts"",""D) Traducir y publicar""]",MX/LATAM,8.333333,,"{""Correcta"":100,""Incorrecta"":0}",2025-08-23 01:46:31.086623+00
52,C4,Cuestionario,Conocimiento,5,4,Riesgo típico en resúmenes científicos generados,Multiple Choice (una respuesta),"[""A) Referencias fabricadas o mal citadas; requiere verificación bibliográfica"",""B) Falta de Wi-Fi"",""C) Tipografía"",""D) Formato de archivo""]",MX/LATAM,8.333333,,"{""Correcta"":100,""Incorrecta"":0}",2025-08-23 01:46:31.086623+00
53,C5,Cuestionario,Conocimiento,5,4,Medida de gobernanza clínica recomendada,Multiple Choice (una respuesta),"[""A) No registrar nada"",""B) Comité de IA/ética, registro de prompts/outputs, auditorías y criterios de liberación"",""C) Dejarlo a marketing"",""D) Solo cambiar contraseña""]",MX/LATAM,8.333333,,"{""Correcta"":100,""Incorrecta"":0}",2025-08-23 01:46:31.086623+00
54,C6,Cuestionario,Conocimiento,5,4,"Para poblaciones locales, ¿qué asegura validez?",Multiple Choice (una respuesta),"[""A) Extrapolar de cualquier estudio"",""B) Evaluar desempeño en población/idioma local y documentar límites"",""C) Aumentar temperatura"",""D) Publicar sin revisión""]",MX/LATAM,8.333333,,"{""Correcta"":100,""Incorrecta"":0}",2025-08-23 01:46:31.086623+00
55,A1,Cuestionario,Adopción,6,5,"¿Con qué frecuencia usa Gen-AI para borradores (contratos, demandas/contestaciones, briefs) con revisión humana?",Multiple Choice (escala Likert A–E),"[""A) Nunca"",""B) Rara vez (≤ 1/mes)"",""C) Ocasional (2–3/mes)"",""D) Frecuente (semanal)"",""E) Muy frecuente (diaria)""]",MX/LATAM,8.333333,"{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}","{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}",2025-08-23 01:46:31.086623+00
56,A2,Cuestionario,Adopción,6,5,¿Con qué frecuencia usa Gen-AI para síntesis de jurisprudencia/doctrina y extracción de criterios relevantes?,Multiple Choice (escala Likert A–E),"[""A) Nunca"",""B) Rara vez (≤ 1/mes)"",""C) Ocasional (2–3/mes)"",""D) Frecuente (semanal)"",""E) Muy frecuente (diaria)""]",MX/LATAM,8.333333,"{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}","{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}",2025-08-23 01:46:31.086623+00
57,A3,Cuestionario,Adopción,6,5,"¿Con qué frecuencia emplea Gen-AI para comunicaciones con clientes/áreas internas (memos, Q&A, minutas)?",Multiple Choice (escala Likert A–E),"[""A) Nunca"",""B) Rara vez (≤ 1/mes)"",""C) Ocasional (2–3/mes)"",""D) Frecuente (semanal)"",""E) Muy frecuente (diaria)""]",MX/LATAM,8.333333,"{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}","{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}",2025-08-23 01:46:31.086623+00
58,A4,Cuestionario,Adopción,6,5,"¿Con qué frecuencia usa Gen-AI en revisión documental/e-discovery (resúmenes, clasificación temática, red flags)?",Multiple Choice (escala Likert A–E],"[""A) Nunca"",""B) Rara vez (≤ 1/mes)"",""C) Ocasional (2–3/mes)"",""D) Frecuente (semanal)"",""E) Muy frecuente (diaria)""]",MX/LATAM,8.333333,"{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}","{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}",2025-08-23 01:46:31.086623+00
59,A5,Cuestionario,Adopción,6,5,"¿Con qué frecuencia integra Gen-AI en gestión de conocimiento (cláusulas estándar, playbooks, búsqueda semántica/RAG en repos internos)?",Multiple Choice (escala Likert A–E),"[""A) Nunca"",""B) Rara vez (≤ 1/mes)"",""C) Ocasional (2–3/mes)"",""D) Frecuente (semanal)"",""E) Muy frecuente (diaria)""]",MX/LATAM,8.333333,"{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}","{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}",2025-08-23 01:46:31.086623+00
60,A6,Cuestionario,Adopción,6,5,"¿Con qué frecuencia aplica controles de confidencialidad/privilegio (entornos aprobados, acuerdos de tratamiento de datos, verificación de citas y audit trail)?",Multiple Choice (escala Likert A–E),"[""A) Nunca"",""B) Rara vez (≤ 1/mes)"",""C) Ocasional (2–3/mes)"",""D) Frecuente (semanal)"",""E) Muy frecuente (diaria)""]",MX/LATAM,8.333333,"{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}","{""A"":0,""B"":25,""C"":50,""D"":75,""E"":100}",2025-08-23 01:46:31.086623+00
